Tarih;Acilis;Yuksek;Dusuk;Kapanis;RSI;MACD;MACD_Sinyal;Bollinger_Orta;Bollinger_Ust;Bollinger_Alt;MA200;Stokastik_K;Stokastik_D
2026-06-23 00:00:00+01:00;46,4659;46,4817;46,4255;46,4666;96,412;0,2497;0,2474;46,1413;46,5542;45,7285;43,6153;97,153;96,1396
2026-06-24 00:00:00+01:00;46,4699;46,4973;46,4353;46,4709;96,2493;0,2461;0,2471;46,1702;46,5908;45,7496;43,6413;94,7368;96,2403
2026-06-25 00:00:00+01:00;46,5089;46,5163;46,496;46,5056;95,8138;0,2433;0,2464;46,2008;46,6256;45,7761;43,6673;97,9401;96,6099
2026-06-26 00:00:00+01:00;46,5913;46,6248;46,58;46,5793;96,1861;0,2442;0,2459;46,2352;46,6659;45,8045;43,6936;91,7847;94,8205
2026-06-29 00:00:00+01:00;46,6156;46,6491;46,576;46,6162;96,3345;0,2451;0,2458;46,2711;46,7032;45,8391;43,7202;94,1794;94,6347
2026-06-30 00:00:00+01:00;46,649;46,6598;46,6231;46,6407;96,4071;0,245;0,2456;46,3069;46,7369;45,877;43,7464;96,3825;94,1155
2026-07-01 00:00:00+01:00;46,6549;46,6763;46,6284;46,6547;96,2955;0,2432;0,2451;46,3424;46,7636;45,9211;43,7726;95,376;95,3126
2026-07-02 00:00:00+01:00;46,6804;46,6949;46,6776;46,6772;95,7717;0,2408;0,2443;46,3776;46,7865;45,9686;43,7991;96,0598;95,9395
2026-07-03 00:00:00+01:00;46,7237;46,8044;46,6077;46,7235;95,9636;0,2399;0,2434;46,4105;46,8194;46,0016;43,8256;84,5319;91,9892
2026-07-06 00:00:00+01:00;46,8099;46,8222;46,7852;46,8076;96,423;0,2431;0,2433;46,4463;46,8629;46,0298;43,8523;97,2003;92,5973
2026-07-07 00:00:00+01:00;46,8204;46,8396;46,8139;46,8185;96,3577;0,2438;0,2434;46,4819;46,8979;46,0659;43,8786;95,1337;92,2886
2026-07-08 00:00:00+01:00;46,851;46,8596;46,8404;46,8519;95,5421;0,2442;0,2436;46,5185;46,9292;46,1079;43,905;98,3006;96,8782
2026-07-09 00:00:00+01:00;46,8685;46,8749;46,8549;46,8681;100,0;0,243;0,2435;46,5544;46,955;46,1538;43,9315;98,4865;97,3069
2026-07-10 00:00:00+01:00;46,957;46,9847;46,9198;46,9477;100,0;0,2457;0,2439;46,5897;46,9985;46,1809;43,9583;93,3887;96,7253
2026-07-13 00:00:00+01:00;46,9916;47,0019;46,9765;46,9865;100,0;0,248;0,2447;46,6258;47,0412;46,2105;43,9853;97,2893;96,3882
2026-07-14 00:00:00+01:00;47,0212;47,0428;47,0106;47,0226;100,0;0,2499;0,2458;46,6628;47,0815;46,244;44,0122;96,3053;95,6611
2026-07-15 00:00:00+01:00;47,0261;47,035;47,0222;47,0258;100,0;0,2489;0,2464;46,6988;47,112;46,2855;44,0388;96,3581;96,6509
2026-07-16 00:00:00+01:00;47,037;47,0553;47,0293;47,0366;100,0;0,246;0,2463;46,7286;47,1492;46,308;44,0655;96,0966;96,2533
2026-07-17 00:00:00+01:00;47,109;47,1648;47,0887;47,1021;100,0;0,2462;0,2463;46,7627;47,1886;46,3369;44,0924;88,7445;93,7331
2026-07-20 00:00:00+01:00;47,1615;47,1822;47,1333;47,1411;100,0;0,2467;0,2464;46,7972;47,2287;46,3657;44,1195;92,857;92,566
2026-07-21 00:00:00+01:00;47,1628;47,2037;47,1628;47,1806;100,0;0,2474;0,2466;46,8329;47,2673;46,3984;44,1463;96,1235;92,575
2026-07-22 00:00:00+01:00;47,1983;47,2178;47,1848;47,1977;100,0;0,2465;0,2466;46,8692;47,2977;46,4407;44,1732;96,7052;95,2286
2026-07-23 00:00:00+01:00;47,211;47,241;47,1718;47,2124;100,0;0,2441;0,2461;46,9045;47,3233;46,4858;44,2002;93,7248;95,5179
2026-07-24 00:00:00+01:00;47,3266;47,345;47,3053;47,3168;100,0;0,2479;0,2464;46,9414;47,3694;46,5135;44,2277;94,6974;95,0425
2026-07-27 00:00:00+01:00;47,3503;47,3596;47,3363;47,351;100,0;0,2507;0,2473;46,9782;47,4146;46,5417;44,2552;98,3403;95,5875
2026-07-28 00:00:00+01:00;47,3542;47,3798;47,3542;47,3544;100,0;0,2503;0,2479;47,0138;47,4508;46,5768;44,2825;95,1613;96,0663
2026-07-29 00:00:00+01:00;47,3951;47,3975;47,3779;47,3834;100,0;0,2494;0,2482;47,0503;47,4827;46,6179;44,3097;97,0398;96,8471
2026-07-30 00:00:00+01:00;47,3992;47,4185;47,3359;47,3699;96,9921;0,2449;0,2475;47,0849;47,5022;46,6676;44,3369;89,002;93,7344
2026-07-31 00:00:00+01:00;47,4966;47,525;47,4859;47,5014;97,5065;0,249;0,2478;47,1238;47,5443;46,7034;44,3646;95,4069;93,8162
2026-08-02 00:00:00+01:00;47,5078;47,5078;47,5055;47,5055;97,3503;0,2497;0,2482;47,1587;47,5845;46,7329;44,3923;96,1165;93,5085
