Baslik,Kaynak,Tarih,URL,Olgu_Yorum_Skoru,Dogrulama_Skoru,Atif_Turu,Duygusal_Yuzde
Bu yazı tipi yapay zeka tarafından okunamaz; sadece insanlar onu çözebilir.,vietnam.vn,"Thu, 30 Jul 2026 16:00:00 GMT",https://www.vietnam.vn/tr/phong-chu-khien-ai-khong-the-giai-ma-chi-con-nguoi-moi-doc-duoc,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
"CMC, 2026-2030 dönemi boyunca yatırımlarını yapay zeka, veri ve dijital altyapıya odaklayacaktır.",vietnam.vn,"Fri, 31 Jul 2026 16:00:00 GMT",https://www.vietnam.vn/tr/cmc-dat-trong-tam-dau-tu-ai-du-lieu-va-ha-tang-so-giai-doan-2026-2030,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
Yapay zeka şirketleri neden milyonlarca eski kitap satın alıyor?,vietnam.vn,"Sat, 01 Aug 2026 16:00:00 GMT",https://www.vietnam.vn/tr/ly-do-cac-cong-ty-ai-thu-mua-hang-trieu-cuon-sach-cu,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
"An Khánh Belediyesi, okul öncesi çocuklar için Yapay Zeka Kulübü ve okul öncesi çocuklar için Yapay Zeka öğrenme kaynak kütüphanesi modeli başlattı.",vietnam.vn,"Sat, 01 Aug 2026 16:00:00 GMT",https://www.vietnam.vn/tr/xa-an-khanh-ra-mat-cau-lac-bo-ai-mam-non-va-mo-hinh-kho-hoc-lieu-ai-mam-non,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
"Yapay Zeka Haber Kampanyası Başlatılıyor mu?: Yapay zeka tarafından üretilen sahte haber dalgasını durdurmak için ""İnanmadan önce kontrol edin"".",vietnam.vn,"Sat, 01 Aug 2026 16:00:00 GMT",https://www.vietnam.vn/tr/phat-dong-chien-dich-tinai-kiem-truoc-tin-sau-de-chan-lan-song-tin-gia-ai,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
Anthropic'in yapay zeka modeli test aşamasında üç şirkete saldırdı.,vietnam.vn,"Fri, 31 Jul 2026 16:00:00 GMT",https://www.vietnam.vn/tr/mo-hinh-ai-cua-anthropic-tan-cong-3-cong-ty-trong-khi-thu-nghiem,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
"ABD'de yapay zeka krizi: OpenAI kontrolden çıktı, farklı platformlara da saldırdı",trthaber.com,"Thu, 30 Jul 2026 16:00:00 GMT",https://www.trthaber.com/haber/dunya/abdde-yapay-zeka-krizi-openai-kontrolden-cikti-farkli-platformlara-da-saldirdi-952549.html,0.6,0.3,belirtilmemiş,65
"Amerikan teknoloji şirketleri, Trump yönetiminin yeni yapay zeka düzenlemelerine karşı çıkıyor.",vietnam.vn,"Sat, 01 Aug 2026 16:00:00 GMT",https://www.vietnam.vn/tr/cac-tap-doan-cong-nghe-my-phan-doi-quy-dinh-ai-moi-cua-chinh-quyen-trump,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
Asyalı yatırımcılar yapay zeka altyapısındaki patlamaya karşı temkinli yaklaşıyor.,vietnam.vn,"Fri, 31 Jul 2026 16:00:00 GMT",https://www.vietnam.vn/tr/nha-dau-tu-chau-a-than-trong-voi-con-sot-ha-tang-ai,0.3,0.4,kurumsal/resmi açıklama ve başka habere dayalı karışık,20
AI Act,digital-strategy.ec.europa.eu,"Sun, 02 Aug 2026 10:01:01 GMT",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,0.0,0.9,resmi kurum belgesi,0
